idx	outcome	cause	test	rc	dur_s	sub_passed	sub_failed	metric	reason
35	METRIC_OFF	quality_metric	families::quality_vs_inla_binomial_smooth_probability::gam_binomial_smooth_recovers_true_probability	101	4	0	1	edf=4.114 	thread 'families::quality_vs_inla_binomial_smooth_probability::gam_binomial_smooth_recovers_true_probability' (43670) panicked at tests/quality/families/quality_vs_inla_binomial_smooth_probability.rs:340:5: :: gam less accurate than INLA at recovering the truth: gam_RMSE=0.0304 > 1.10*inla_RMSE=0.0213
36	GAM_ERROR	gam_fit_failed	families::quality_vs_inla_binomial_smooth_probability::gam_binomial_smooth_recovers_true_probability_on_real_data	101	2	0	1		thread 'families::quality_vs_inla_binomial_smooth_probability::gam_binomial_smooth_recovers_true_probability_on_real_data' (43818) panicked at tests/quality/families/quality_vs_inla_binomial_smooth_probability.rs:521:10: :: gam binomial 2-smooth fit: IntegrationFailed { reason: 'Invalid input: exact smoothing-corrected covariance unavailable: OuterHessianInverse { error: \'rho Hessian has negative
37	PASS	ok	families::quality_vs_inla_gaussian_smooth_posterior_mean::gam_smooth_predicts_heldout_lidar_at_least_as_well_as_inla	0	3	1	0	R2=0.9454 rmse_ratio=0.9963 	
38	PASS	ok	families::quality_vs_inla_gaussian_smooth_posterior_mean::gam_smooth_predicts_heldout_lidar_at_least_as_well_as_inla_on_real_data	0	3	1	0	R2=0.9324 rmse_ratio=0.9968 	
39	PASS	ok	families::quality_vs_interpret_ml_pygam_binomial_logit_comparative::gam_binomial_logit_holdout_predictive_quality	0	11	1	0		
40	PASS	ok	families::quality_vs_interpret_ml_pygam_binomial_logit_comparative::gam_binomial_logit_holdout_predictive_quality_on_real_data	0	2	1	0	nll=0.6215 auc=0.6987 nll=0.6211 nll=0.6213 nll=0.6211 	
41	PASS	ok	families::quality_vs_interpretml_ebm_binomial_logit::gam_binomial_logit_heldout_accuracy_beats_ebm	0	6	1	0	edf=3.099 	
42	METRIC_OFF	quality_metric	families::quality_vs_interpretml_ebm_poisson_log::gam_poisson_log_matches_interpretml_ebm	101	3	0	1	edf=3.064 rmse=0.1564 	thread 'families::quality_vs_interpretml_ebm_poisson_log::gam_poisson_log_matches_interpretml_ebm' (44318) panicked at tests/quality/families/quality_vs_interpretml_ebm_poisson_log.rs:279:5: :: gam is materially less accurate than InterpretML EBM at recovering the true mean: gam_truth_dev=1.0969 ebm_truth_dev=0.9831 (ratio=1.1157, bar 1.10)
43	PASS	ok	families::quality_vs_interpretml_ebm_poisson_log::gam_poisson_log_matches_interpretml_ebm_on_real_data	0	3	1	0	edf=5.751 	
44	PASS	ok	families::quality_vs_loo_psis_gaussian_smooth::gam_alo_is_honest_loo_predictive_error_on_lidar	0	4	1	0	edf=8.758 rmse=0.08109 rmse=0.07770 rmse=0.08114 rmse=0.00220 pearson_vs_loo=0.99949 	
45	PASS	ok	families::quality_vs_loo_psis_gaussian_smooth::gam_alo_is_honest_loo_predictive_error_on_lidar_on_real_data	0	3	1	0	edf=8.087 rmse=0.07011 	
46	PASS	ok	families::quality_vs_manual_mixture_link_logistic_probit_cloglog_blend::mixture_link_blend_matches_handcoded_reference	0	0	1	0	rel_l2=5.633e-17 pearson=1.000000000000 	
47	PASS	ok	families::quality_vs_mgcv_confidence_interval_gaussian_coverage_90::ci_coverage_near_nominal_on_gaussian_truth_90pct	0	5	1	0	coverage = 0.9060 coverage = 0.8920 coverage = 0.8992 	
48	PASS	ok	families::quality_vs_mgcv_confidence_interval_gaussian_logistic_link::confidence_intervals_cover_truth_under_logistic_link	0	67	1	0		
49	PASS	ok	families::quality_vs_mgcv_confidence_interval_gaussian_response_scale::response_scale_ci_is_calibrated_and_matches_or_beats_mgcv	0	23	1	0	rho_marginalized=0.9692 rho_marginalized_err=0.0192 rho_marginalized_strictly_wider=9000 rho_marginalized_narrower=0 	
50	PASS	ok	families::quality_vs_mgcv_confidence_interval_gaussian_se::gam_pointwise_ci_covers_truth_and_matches_mgcv_on_gaussian_smooth	0	2	1	0	se_rel_l2=0.02552 	
51	PASS	ok	families::quality_vs_mgcv_confidence_interval_gaussian_sweep_coverage::gam_confidence_interval_domain_averaged_coverage_hits_nominal	0	3	1	0		
52	PASS	ok	families::quality_vs_mgcv_gaulss_gaussian::gam_gaulss_linear_mean_smooth_sigma_predicts_lidar_at_least_as_well_as_mgcv	0	1	1	0	R2=0.7936 rel_l2_vs_mgcv=0.0090 	
53	PASS	ok	families::quality_vs_mgcv_gaussian_smooth::gam_smooth_predicts_lidar_better_than_baseline	0	1	1	0	R2_avg=0.9169 	
54	PASS	ok	families::quality_vs_mgcv_gaussian_smooth::gam_smooth_predicts_lidar_better_than_baseline_on_real_data	0	1	1	0	R2_avg=0.9267 	
55	PASS	ok	families::quality_vs_mgcv_high_leverage_gaussian_alo_stabilized::alo_stabilized_reml_is_bit_preserving_on_low_leverage_gaussian	0	1	1	0	rmse=0.0091 rmse=0.0612 rmse=0.0611 	
56	PASS	ok	families::quality_vs_mgcv_high_leverage_gaussian_alo_stabilized::alo_stabilized_reml_matches_or_beats_mgcv_on_high_leverage_gaussian	0	1	1	0	edf=7.761 edf=9.043 rmse=0.0139 rmse=0.0838 rmse=0.0866 	
57	PASS	ok	families::quality_vs_mgcv_poisson_badhealth_doctor_visits::gam_poisson_predicts_badhealth_visits_better_than_baseline	0	2	1	0	edf=2.826 edf=3.005 	
58	METRIC_OFF	quality_metric	families::quality_vs_mgcv_poisson_tensor::gam_poisson_tensor_recovers_true_mean_surface	101	2	0	1	rmse_to_truth=0.2400 rmse_to_truth=0.1565 edf=10.073 edf=10.828 rel_l2_vs_mgcv=0.0582 pearson_vs_mgcv=0.95199 	thread 'families::quality_vs_mgcv_poisson_tensor::gam_poisson_tensor_recovers_true_mean_surface' (45614) panicked at tests/quality/families/quality_vs_mgcv_poisson_tensor.rs:207:5: :: Poisson+te() less accurate than mgcv at recovering the truth: RMSE(gam, truth)=0.2400 > 1.10 * RMSE(mgcv, truth)=0.1565
59	PASS	ok	families::quality_vs_mgcv_poisson_tensor::gam_poisson_tensor_recovers_true_mean_surface_on_real_data	0	72	1	0	edf=14.070 edf=13.219 	
60	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_binomial::gam_tensor_te_2d_binomial_logit_matches_mgcv	0	249	1	0	edf=23.341 edf=23.370 rmse_vs_truth=0.1218 rmse_vs_truth=0.1280 pearson=0.99989 	
61	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_gamma::gam_tensor_te_2d_gamma_matches_mgcv	0	5	1	0	edf=8.104 	
62	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_gamma::gam_tensor_te_2d_gamma_matches_mgcv_on_real_data	0	2	1	0	edf=3.978 edf=4.000 	
63	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_gaussian::gam_te_2d_smooth_matches_mgcv_on_separable_grid	0	1	1	0	rmse_vs_truth=0.022185 rmse_vs_truth=0.022184 edf=63.830 edf=63.839 	
64	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_poisson::gam_tensor_te_2d_poisson_matches_mgcv	0	7	1	0	edf=7.340 	
65	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_poisson::gam_tensor_te_2d_poisson_matches_mgcv_on_real_data	0	2	1	0	edf=8.382 	
66	PASS	ok	families::quality_vs_mgcv_tensor_te_2d_tweedie::gam_tensor_te_2d_tweedie_matches_mgcv	0	127	1	0	edf=6.441 edf=8.371 se_sigma=7.4061 	
67	PASS	ok	families::quality_vs_mgcv_tensor_te_3d_gaussian::gam_te_3d_recovers_nonadditive_surface	0	5	1	0	edf_total=49.910 edf=11.001 rmse_vs_truth=0.06964 rmse=0.01698 rmse=0.01698 rmse/range=0.00787 rel_l2_vs_mgcv=0.0001 	
68	METRIC_OFF	quality_metric	families::quality_vs_mgcv_tensor_ti_2d_gaussian::gam_ti_2d_interaction_recovers_truth	101	1	0	1	rmse_gam_vs_truth=0.03466 rmse_mgcv_vs_truth=0.02852 rmse=0.03466 	thread 'families::quality_vs_mgcv_tensor_ti_2d_gaussian::gam_ti_2d_interaction_recovers_truth' (46240) panicked at tests/quality/families/quality_vs_mgcv_tensor_ti_2d_gaussian.rs:291:5: :: gam fails to recover the true interaction surface: rmse=0.03466 > bar=0.03128 (= 0.025 * range 1.2513)
69	PASS	ok	families::quality_vs_mgcv_tensor_tp_2d_gaussian::gam_thin_plate_2d_matches_mgcv_gaussian	0	1	1	0	edf_total=9.991 rmse_vs_truth=0.03753 rmse_vs_truth=0.03986 rel_l2_gam_vs_mgcv=0.08202 	
70	PASS	ok	families::quality_vs_numpyro_nuts_poisson_loglink::gam_nuts_poisson_loglink_predicts_heldout_counts	0	17	1	0	edf=10.95 rhat=1.0000 ess=611.0 	
71	PASS	ok	families::quality_vs_properscoring_crps_gaussian_location_scale::gam_gaussian_location_scale_crps_matches_properscoring	0	2	1	0	crps=0.074010 	
72	PASS	ok	families::quality_vs_properscoring_crps_gaussian_location_scale::gam_gaussian_location_scale_crps_matches_properscoring_on_real_data	0	1	1	0	crps_naive=5.3299 crps=2.465819 	
